In,PunchCode,PunchDate,Hours,Weekday
499,MEAL,3/11/2020,0,Wednesday
500,INN,3/11/2020,0,Wednesday
501,OUT,3/10/2020,1006,Tuesday
502,MAEL,3/10/2020,0,Tuesday
503,MEAL,3/10/2020,0,Tuesday
504,INN,3/10/2020,494,Tuesday
505,OUT,3/9/2020,1002,Monday
506,MAEL,3/9/2020,796,Monday
507,MEAL,3/9/2020,765,Monday
508,INN,3/9/2020,498,Monday
509,OUT,3/7/2020,0,Saturday
510,MAEL,3/7/2020,0,Saturday
511,MEAL,3/7/2020,0,Saturday
512,INN,3/7/2020,0,Saturday
513,OUT,3/6/2020,1001,Friday
514,MAEL,3/6/2020,841,Friday
515,MEAL,3/6/2020,810,Friday
516,INN,3/6/2020,491,Friday
517,OUT,3/5/2020,1087,Thursday
518,MAEL,3/5/2020,842,Thursday
519,MEAL,3/5/2020,812,Thursday
520,INN,3/5/2020,497,Thursday
521,OUT,3/4/2020,1010,Wednesday
522,MAEL,3/4/2020,0,Wednesday
523,MEAL,3/4/2020,0,Wednesday
524,INN,3/4/2020,496,Wednesday
525,OUT,3/3/2020,999,Tuesday
526,MAEL,3/3/2020,767,Tuesday
527,MEAL,3/3/2020,735,Tuesday
528,INN,3/3/2020,497,Tuesday
529,OUT,3/2/2020,903,Monday
530,MAEL,3/2/2020,0,Monday
531,MEAL,3/2/2020,0,Monday
532,INN,3/2/2020,503,Monday
